State,State_code,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.8,2.8,2.8,3.4,3.6,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.3,4.75,4.75,4.75,4.75,4.75,5.25,5.65,5.65,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84,10.19,10.19
Arizona,AZ,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5,12,12
Arkansas,AR,0.15625,0.15625,1.1,1.1,1.2,1.2,1.2,1.2,1.9,1.9,1.9,2.3,2.55,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.25,3.25,3.25,3.35,3.65,3.65,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.5,8,8.5,8.5,9.25,10
California,CA,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,2,2,2,2.9,2.9,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,9,9,10,10,11,12,13
Colorado,CO,1,1,1,1,1,1,1,1,1,1,1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,3,3,3,3,3,3,3,3,3,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2,12,12
Connecticut,CT,1.4,1.4,1.6,1.6,1.85,1.85,1.85,1.85,2.21,2.21,2.21,2.91,3.12,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.75,3.75,3.75,4.25,4.27,4.27,4.27,4.27,4.27,4.77,5.18,5.18,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1,11,11
Delaware,DE,1.25,1.25,1.25,1.25,1.6,1.6,1.6,1.6,2,2,2,2,2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.65,5,5.15,5.15,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,9.25,9.25
District of Columbia,DC,1.25,1.25,1.6,1.6,1.6,1.6,1.6,1.6,2.25,2.25,2.25,2.46,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.7,3.9,3.9,4.25,4.25,5.25,5.75,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.6,7,7,7,7.55,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25,14,14
Florida,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25,8.56,8.56
